Agresh bear	Grasslands	14012050	14012070
Agresh troll chieftain	Grasslands	14012100	14012120
Agresh troll chieftain	Grasslands	14012150	14012165
Agresh troll scout	Grasslands	14012030	14012042
Agresh troll warrior	Grasslands	14012010	14012022
Behemothic gorefrost golem	Hinterwilds	7503101	7503146
Colossal boreal undansormr	Hinterwilds	7503401	7503421
Colossal boreal undansormr	Hinterwilds	7503479	7503498
Eyeless black valravn	Hinterwilds	7503321	7503332
Eyeless black valravn	Hinterwilds	7503371	7503374
Eyeless black valravn	Hinterwilds	7503422	7503466
Grim gigas skald	Hinterwilds	7503301	7503312
Grim gigas skald	Hinterwilds	7503321	7503332
Grim gigas skald	Hinterwilds	7503341	7503353
Grim gigas skald	Hinterwilds	7503361	7503366
Grim gigas skald	Hinterwilds	7503371	7503374
Grim gigas skald	Hinterwilds	7503381	7503384
Illoke elder	Bowels of Thanatoph	4293015	4293057
Illoke jarl	Bowels of Thanatoph	4293016	4293057
Illoke mystic	Stone Valley	4292001	4292050
Illoke shaman	Stone Valley	4292017	4292060
Ilvari pixie	Red Forest	480231	480245
Ilvari pixie	Red Forest	17006231	17006245
Ilvari sprite	Red Forest	480231	480245
Ilvari sprite	Red Forest	17006231	17006245
Ithzir adept	Old Ta'Faendryl	17001101	17001107
Ithzir adept	Old Ta'Faendryl	17004001	17004028
Ithzir adept	Old Ta'Faendryl	17004031	17004120
Ithzir adept	Old Ta'Faendryl	17004160	17004168
Ithzir adept	Old Ta'Faendryl	17004180	17004187
Ithzir adept	Old Ta'Faendryl	17004190	17004195
Ithzir champion	Old Ta'Faendryl	17004080	17004120
Ithzir herald	Old Ta'Faendryl	17004001	17004028
Ithzir herald	Old Ta'Faendryl	17004031	17004079
Ithzir herald	Old Ta'Faendryl	17004160	17004168
Ithzir herald	Old Ta'Faendryl	17004180	17004187
Ithzir herald	Old Ta'Faendryl	17004190	17004195
Ithzir initiate	Old Ta'Faendryl	17004001	17004028
Ithzir initiate	Old Ta'Faendryl	17004031	17004079
Ithzir initiate	Old Ta'Faendryl	17004160	17004168
Ithzir initiate	Old Ta'Faendryl	17004180	17004187
Ithzir initiate	Old Ta'Faendryl	17004190	17004195
Ithzir janissary	Old Ta'Faendryl	17004001	17004028
Ithzir janissary	Old Ta'Faendryl	17004031	17004079
Ithzir janissary	Old Ta'Faendryl	17004160	17004168
Ithzir janissary	Old Ta'Faendryl	17004180	17004187
Ithzir janissary	Old Ta'Faendryl	17004190	17004195
Ithzir scout	Old Ta'Faendryl	17004001	17004028
Ithzir scout	Old Ta'Faendryl	17004031	17004079
Ithzir scout	Old Ta'Faendryl	17004160	17004168
Ithzir scout	Old Ta'Faendryl	17004180	17004187
Ithzir scout	Old Ta'Faendryl	17004190	17004195
Ithzir seer	Old Ta'Faendryl	17001101	17001107
Ithzir seer	Old Ta'Faendryl	17004001	17004028
Ithzir seer	Old Ta'Faendryl	17004031	17004120
Ithzir seer	Old Ta'Faendryl	17004160	17004168
Ithzir seer	Old Ta'Faendryl	17004180	17004187
Ithzir seer	Old Ta'Faendryl	17004190	17004195
Quivering sanguine ooze	Hinterwilds	7503401	7503421
Quivering sanguine ooze	Hinterwilds	7503467	7503498
Quivering sanguine oozeling	Hinterwilds	7503401	7503421
Quivering sanguine oozeling	Hinterwilds	7503467	7503498
Roiling crimson angargeist	Hinterwilds	7503422	7503466
Sheruvian harbinger	Darkstone Castle	388012	388019
Sheruvian harbinger	Darkstone Castle	388030	388035
Sheruvian harbinger	The Broken Lands	487019	487041
Sheruvian harbinger	The Broken Lands	487043	487052
Sheruvian harbinger	The Broken Lands	487054	487054
Sheruvian harbinger	The Broken Lands	487056	487075
Sheruvian initiate	The Broken Lands	487010	487014
Sheruvian initiate	The Broken Lands	487016	487016
Sheruvian initiate	The Broken Lands	487018	487025
Sheruvian initiate	The Broken Lands	487027	487031
Sheruvian initiate	The Broken Lands	487034	487041
Sheruvian initiate	The Broken Lands	487043	487052
Sheruvian initiate	The Broken Lands	487054	487054
Sheruvian initiate	The Broken Lands	487056	487058
Sheruvian initiate	The Broken Lands	487067	487075
Sheruvian monk	The Broken Lands	487020	487025
Sheruvian monk	The Broken Lands	487030	487032
Sheruvian monk	The Broken Lands	487034	487041
Sheruvian monk	The Broken Lands	487043	487043
Sheruvian monk	The Broken Lands	487058	487075
Shining winged disir	Hinterwilds	7503422	7503466
Squamous reptilian mutant	Hinterwilds	7503401	7503421
Squamous reptilian mutant	Hinterwilds	7503467	7503478
Squamous reptilian mutant	Hinterwilds	7503490	7503498
Vvrael destroyer	The Rift	4571001	4571030
Vvrael warlock	The Rift	4567001	4567055
Vvrael warlock	The Rift	4568001	4568055
Vvrael witch	The Rift	4566001	4566055
Withered shadow-cloaked draugr	Hinterwilds	7503321	7503332
Withered shadow-cloaked draugr	Hinterwilds	7503371	7503374
Withered shadow-cloaked draugr	Hinterwilds	7503422	7503466
aivren	The Rift	4568028	4568055
albino tomb spider	The Graveyard	2162113	2162122
algae-draped merrow oracle	Sailor's Grief	7150701	7150733
amaranthine kraken tentacle	Sailor's Grief	7150501	7150535
amaranthine kraken tentacle	Sailor's Grief	7150701	7150719
ancient ghoul master	The Graveyard	18029	18035
ancient ghoul master	The Graveyard	18070	18070
animated slush	Gossamer Valley	13023013	13023054
animated slush	Gossamer Valley	13023076	13023076
arachne acolyte	Spider Temple	13010	13030
arachne priest	Spider Temple	13001	13036
arachne servant	Lower Trollfang	12016	12045
arch wight	Abbey	4132101	4132118
arch wight	Castle Anwyn	4285023	4285023
arch wight	Castle Anwyn	4285030	4285030
arch wight	Castle Anwyn	4285051	4285057
